"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","File_loc","Year","original","taxa_data.scientificNameAuthorship.i.","Title","EID","taxa_data.family.i.","taxa_data.ï..taxonID.i.","taxa_data.acceptedNameUsageID.i.","taxa_data.parentNameUsageID.i.","taxa_data.taxonomicStatus.i.","level"
"5850","Phylidonyris novaehollandiae","Animalia","Aves","Passeriformes","10.1111/j.1442-9993.1997.tb00676.x","1997","Phylidonyris novaehollandiae","Latham 1790","Reproductive biology of the rare and endangered Banksia brownii Baxter ex R. Br. (Proteaceae)","2-s2.0-17444380502","Meliphagidae","27747529",NA,"33377755","accepted name","1a"
"5851","Phylidonyris novaehollandiae","Animalia","Aves","Passeriformes","10.1007/BF00317758","1990","Phylidonyris novaehollandiae","Latham 1790","Effects of nectar volume and concentration on sugar intake rates of Australian honeyeaters (Meliphagidae)","2-s2.0-0025684098","Meliphagidae","27747529",NA,"33377755","accepted name","1a"
"5852","Phylloscopus collybita","Animalia","Aves","Passeriformes","10.1111/j.0030-1299.2005.13877.x","2005","Phylloscopus collybita","Vieillot 1817","First confirmation of a native bird-pollinated plant in Europe","2-s2.0-24744466061","Phylloscopidae","27747602",NA,"33304336","accepted name","1a"
"5853","Phylloscopus collybita","Animalia","Aves","Passeriformes","10.1016/S1146-609X(02)01167-0","2002","Phylloscopus collybita","Vieillot 1817","Native birds and insects, and introduced honey bees visiting Echium wildpretii (Boraginaceae) in the Canary Islands","2-s2.0-0036909599","Phylloscopidae","27747602",NA,"33304336","accepted name","1a"
"5854","Phylloscopus collybita","Animalia","Aves","Passeriformes","","1992","Phylloscopus collybita","Vieillot 1817","Reproductive biology of Crataegus monogyna in northwestern Spain","2-s2.0-0027041248","Phylloscopidae","27747602",NA,"33304336","accepted name","1a"
"5855","Phylloscopus collybita","Animalia","Aves","Passeriformes","10.1111/j.1095-8339.1985.tb01010.x","1985","Phylloscopus collybita","Vieillot 1817","The Macaronesian bird?flower element and its relation to bird and bee opportunists","2-s2.0-84984207023","Phylloscopidae","27747602",NA,"33304336","accepted name","1a"
"5856","Plocepasser superciliosus","Animalia","Aves","Passeriformes","10.2989/00306525.2014.900828","2014","Plocepasser superciliosus","Cretzschmar 1827","Nectar feeding by weavers (Ploceidae) and their role as pollinators","2-s2.0-84900799919","Passeridae","27747751",NA,"33374705","accepted name","1a"
"5857","Ploceus capensis","Animalia","Aves","Passeriformes","10.4102/abc.v47i1.2215","2017","Ploceus capensis","Linnaeus 1766","Notes on the flowering and pollination of the endemic grassland Aloe reitzii var. reitzii (Asphodelaceae)","2-s2.0-85029711569","Ploceidae","27747766",NA,"33399289","accepted name","1a"
"5858","Ploceus cucullatus","Animalia","Aves","Passeriformes","10.1242/jeb.040329","2010","Ploceus cucullatus","Statius Muller 1776","Sugar preferences and digestive efficiency of the village weaver: A generalist avian pollinator of African plants","2-s2.0-77954036242","Ploceidae","27747769",NA,"33399289","accepted name","1a"
"5859","Prinia maculosa","Animalia","Aves","Passeriformes","10.2989/00306525.2013.774300","2013","Prinia maculosa","Boddaert 1783","Sunbirds hover at flowers of Salvia and Lycium","2-s2.0-84876036968","Cisticolidae","27747918",NA,"33399393","accepted name","1a"
"5860","Promerops cafer","Animalia","Aves","Passeriformes","10.1111/plb.12635","2018","Promerops cafer","Linnaeus 1758","Mutualism between co-occurring plant species in South Africa's Mediterranean climate heathland is mediated by birds","2-s2.0-85039868903","Promeropidae","27747949",NA,"33417359","accepted name","1a"
"5861","Promerops cafer","Animalia","Aves","Passeriformes","10.1016/j.sajb.2017.08.020","2017","Promerops cafer","Linnaeus 1758","Reproductive biology of three co-occurring, primarily small-mammal pollinated Protea species (Proteaceae)","2-s2.0-85033550753","Promeropidae","27747949",NA,"33417359","accepted name","1a"
"5862","Promerops cafer","Animalia","Aves","Passeriformes","10.1002/ecy.1565","2016","Promerops cafer","Linnaeus 1758","A bird pollinator shows positive frequency dependence and constancy of species choice in natural plant communities","2-s2.0-84994585595","Promeropidae","27747949",NA,"33417359","accepted name","1a"
"5863","Promerops cafer","Animalia","Aves","Passeriformes","10.1111/ecog.01621","2016","Promerops cafer","Linnaeus 1758","Responses of nectar-feeding birds to floral resources at multiple spatial scales","2-s2.0-84977622648","Promeropidae","27747949",NA,"33417359","accepted name","1a"
"5864","Promerops cafer","Animalia","Aves","Passeriformes","10.1007/s10682-014-9712-0","2014","Promerops cafer","Linnaeus 1758","Floral divergence in closely related Leucospermum tottum (Proteaceae) varieties pollinated by birds and long-proboscid flies","2-s2.0-84905725227","Promeropidae","27747949",NA,"33417359","accepted name","1a"
"5865","Promerops cafer","Animalia","Aves","Passeriformes","10.5751/ES-04758-170227","2012","Promerops cafer","Linnaeus 1758","Urbanization drives a reduction in functional diversity in a guild of nectar-feeding birds","2-s2.0-84864484241","Promeropidae","27747949",NA,"33417359","accepted name","1a"
"5866","Promerops cafer","Animalia","Aves","Passeriformes","10.1007/s10144-010-0245-2","2011","Promerops cafer","Linnaeus 1758","Farming with native bees (Apis mellifera subsp. capensis Esch.) has varied effects on nectar-feeding bird communities in South African fynbos vegetation","2-s2.0-79551518821","Promeropidae","27747949",NA,"33417359","accepted name","1a"
"5867","Promerops cafer","Animalia","Aves","Passeriformes","10.1016/S0022-4618(16)30017-1","1984","Promerops cafer","Linnaeus 1758","Avian pollinators and the pollination syndromes of selected mountain fynbos plants.","2-s2.0-0021535088","Promeropidae","27747949",NA,"33417359","accepted name","1a"
"5868","Promerops cafer","Animalia","Aves","Passeriformes","","1983","Promerops cafer","Linnaeus 1758","Pollination of Mimetes hirtus ( Proteaceae) by Cape sugarbirds and orange-breasted sunbirds.","2-s2.0-0021036546","Promeropidae","27747949",NA,"33417359","accepted name","1a"
"5869","Prosthemadera novaeseelandiae","Animalia","Aves","Passeriformes","","2014","Prosthemadera novaeseelandiae","Gmelin 1788","Restoring bird pollination of Fuchsia excorticata by mammalian predator control","2-s2.0-84904510136","Meliphagidae","27747953",NA,"33444845","accepted name","1a"
